index,question,answer,topic
1,ซิม NTmobile มีช่องทางจำหน่ายทางใดบ้าง,ศูนย์บริการลูกค้า NTmobile ในเขตกรุงเทพและปริมณฑล,เกี่ยวกับซิม MY By NT และ NT Mobile
2,NTmobile ให้บริการรูปแบบใดบ้าง (Prepaid หรือ Postpaid)?,NTmobile ให้บริการทั้งแบบ Pre Paid และ Post Paid,เกี่ยวกับซิม MY By NT และ NT Mobile
3,ทำไมต้องมี MNP?,ในปัจจุบันการจะ เปลี่ยน ผู้ให้บริการเครือข่าย แต่ละครั้งต้องเปลี่ยน SIM เท่านั้น ซึ่งหมายถึงเราต้องเปลี่ยนเบอร์ด้วย ซึ่งจะทำให้ผู้ที่จะติดต่อเราไม่สามารถติดต่อเราได้ จึงทำให้ต้องซื้อ SIM เพิ่มทำให้เกิดความยุ่งยาก และสิ้นเปลืองค่าใช้จ่าย ฉะนั้นการมีระบบ MNP จะช่วยอำนวยความสะดวกให้กับผู้ใช้บริการที่ต้องการเปลี่ยนผู้ให้บริการ โดยอยากเปลี่ยนเบอร์โทรศัพท์เคลื่อนที่นั่นเอง,เกี่ยวกับซิม MY By NT และ NT Mobile
4,ใช้ระยะเวลาในการโอนย้ายนานหรือไม่?,สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 1-24 หมายเลข ใช้เวลา 3 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 25-500 หมายเลข ใช้เวลา 20 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 501 หมายเลขขึ้นไป ใช้เวลา 20 วันทำการ,เกี่ยวกับซิม MY By NT และ NT Mobile
5,ถ้าเกิดปัญหาขณะรอการโอนย้ายจะทราบได้อย่างไร?,ในขณะที่ดำเนินการจะมีการแจ้งเป็น SMS มาบอกสถานะว่าตอนนี้ ติดปัญหาหรือ เสร็จสิ้นแล้ว โดยหากเกิดปัญหาสามารถแจ้งได้ที่สถานบริการลูกค้าที่ติดต่อขอใช้บริการ เพื่อที่พนักงานจะดำเนินการแก้ไขต่อไป,เกี่ยวกับซิม MY By NT และ NT Mobile
6,จะใช้ MNP ต้องทำอย่างไร?,หากต้องการใช้บริการ MNP สามารถติดต่อได้ที่ศูนย์ให้บริการของเครือข่ายที่ต้องการเปลี่ยน ซึ่งหาได้จากตามห้างสรรพสินค้าหรือจุดให้บริการต่างๆ ของผู้ให้บริการนั้นๆ โดยให้เตรียมสำเนาบัตรประชาชนไปด้วยทุกครั้งที่จะใช้บริการ MNP โดยต้องมาติดต่อขอใช้บริการก่อน 15.30 น. ของทุกวันทำการ,เกี่ยวกับซิม MY By NT และ NT Mobile
7,ช่องทางการเติมเงินของ My By NT ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, แอป Shopping ของ Lazada, Shopee, แอป my eService, ศูนย์บริการ NT ทุกสาขา, 7-11, Lotus",เกี่ยวกับซิม MY By NT และ NT Mobile
8,ช่องทางการเติมเงินของ NT Mobile ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, ศูนย์บริการ NT ทุกสาขา, 7-11",เกี่ยวกับซิม MY By NT และ NT Mobile
9,ประสงค์เปิดเบอร์รายเดือนและเบอร์เติมเงิน ของ My By NT ต้องทำยังไง,ใช้บัตรประชาชนตัวจริง ลงทะเบียนเปิดเบอร์รายเดือนและเบอร์เติมเงิน พร้อมเลือกโปรโมชันและเลขหมายได้ที่ NT ทุกสาขา,เกี่ยวกับซิม MY By NT และ NT Mobile
10,ประสงค์เปลี่ยนโปรโมชันรายเดือนของ My By NT และ NT Mobile ทำยังไงได้บ้าง,สามารถแจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา,เกี่ยวกับซิม MY By NT และ NT Mobile
11,ประสงค์สมัครโปรโมชันเสริมเบอร์เติมเงิน My By NT และ NT Mobile ทำยังไง,สามารถกดรหัส USSD สมัครโปรโมชันด้วยตนเอง หรือ แจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา,เกี่ยวกับซิม MY By NT และ NT Mobile
12,ประสงค์ซื้อซิม Thunder Net พร้อมอุปกรณ์ Indoor ที่ไหนได้บ้าง,ผ่านช่องทาง Online : NT Official หรือ NT Shop ได้ทุกสาขา,เกี่ยวกับซิม MY By NT และ NT Mobile
13,Sim Wireless Net โปร Thunder Net ใช้คลื่นความถี่อะไร,คลื่นความถี่ 2300 MHz เท่านั้น,เกี่ยวกับซิม MY By NT และ NT Mobile
14,Sim NT Mobile แบบรายเดือนและเติมเงินใช้คลื่นความถี่อะไร,NT Mobile ใช้งานบนคลื่น 2100 MHz และ 2300 MHz,เกี่ยวกับซิม MY By NT และ NT Mobile
15,Sim My By NT ใช้งานคลื่นความถี่อะไร,"My By NT ใช้งานบนคลื่น 3G (2100 MHz), 4G (LTE) 700 MHz, 900 MHz, 1800 MHz, 5G (NSA) 2600 MHz",เกี่ยวกับซิม MY By NT และ NT Mobile
16,ต้องการเปลี่ยนซิมใหม่เบอร์เดิม My By NT และ NT Mobile ติดต่อที่ไหน,ลูกค้าถือบัตรประชาชนตัวจริง ติดต่อศูนย์บริการ NT ได้ทุกสาขา,เกี่ยวกับซิม MY By NT และ NT Mobile
17,My By NT และ NT Mobile เปลี่ยนเป็น E-Sim ได้หรือไม่,ยังไม่มีบริการ E-Sim,เกี่ยวกับซิม MY By NT และ NT Mobile
18,กรณีซื้อซิมและลงทะเบียนไปแล้ว แต่ใช้งานไม่ได้ต้องทำอย่างไร,เปิดข้อมูลมือถือหรือเซลลูล่า แล้วตรวจสอบการตั้งค่า APN ให้ตั้งค่า APN = internet และ ชื่อผู้ใช้ = internet (ภาษาอังกฤษใช้ตัวเล็กทั้งหมด),เกี่ยวกับซิม MY By NT และ NT Mobile
19,ต้องการตรวจสอบข้อมูลการใช้งานการโทรหรือ Data ผ่านช่องทางไหนได้บ้าง,แอป my eService และ  NT Mobile,เกี่ยวกับซิม MY By NT และ NT Mobile
20,ซิม Thunder Net ชำรุดสามารถเปลี่ยนได้หรือไม่,เปลี่ยนใหม่ได้ สามารถติดต่อได้ที่ศูนย์บริการ NT,เกี่ยวกับซิม MY By NT และ NT Mobile
21,ซิม Thunder Net สามารย้ายค่ายได้หรือไม่,"ไม่สามารถย้ายค่ายได้เนื่องจากเป็นซิมใช้งานได้เฉพาะอินเตอร์เน็ตเท่านั้น ไม่สามารถโทรออกหรือรับสายได้ , ไม่สามารถส่งหรือรับ SMS หรือ OTP ได้",เกี่ยวกับซิม MY By NT และ NT Mobile
22,ต้องการเปลี่ยนซิมจาก 4G เป็น 5G ของ My By NT ทำได้หรือไม่,สามารถเปลี่ยนซิมเป็น 5G ได้ แต่ต้องเปลี่ยนโปรโมชันที่เป็นโปรโมชันเฉพาะของซิม 5G เท่านั้น,เกี่ยวกับซิม MY By NT และ NT Mobile
23,ต้องการย้ายค่ายเข้ามาเป็น My By NT และ NT Mobile ต้องทำอย่างไร,"ชำระค่าบริการค่ายเดิม พร้อมกดขอรหัสย้ายค่าย *151*เลขบัตรประชาชน 13 หลัก # โทรออก นำรหัส 8 หลักพร้อมบัตรประชาชนตัวจริงติดต่อศูนย์บริการ NT ทุกสาขา
หมายเหตุ : รหัสย้ายค่ายใช้ได้ภายในวันนั้นเท่านั้น หากข้ามวันลูกค้าต้องกดขอรหัสใหม่",เกี่ยวกับซิม MY By NT และ NT Mobile
24,ชำระค่าบริการ My By NT  และ NT Mobile ผ่านช่องทางใดได้บ้าง,"NT Quick Pay = http://quickpay.nteservice.com ,แอปธนาคาร, ศูนย์บริการ NT, 7-11",เกี่ยวกับซิม MY By NT และ NT Mobile
25,หักผ่านบัญชีธนาคารใช้เอกสารอะไรบ้าง,"แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา
หมายเหตุ : สำหรับ TTB ธนาคารจะนำส่งเอกสารให้ลูกค้าเอง",เกี่ยวกับซิม MY By NT และ NT Mobile
26,ลูกค้าไม่ได้รับใบแจ้งค่าบริการ,สามารถติดต่อแจ้งได้ที่ศูนย์บริการ NT ทุกสาขา หรือ ส่วนจัดทำใบแจ้งหนี้ 025748352-3,เกี่ยวกับซิม MY By NT และ NT Mobile
27,ลูกค้าร้องเรียนโทรศัพท์ใช้งานไม่ได้,สามารถติดต่อแจ้งเสีย Call Center 1177 ตลอด 24 ชั่วโมง,เกี่ยวกับซิม MY By NT และ NT Mobile
28,ลูกค้าสงสัยกี่รอบบิลถึงโดนระงับสัญญาณ,ค้างชำระได้ไม่เกิน 2 รอบบิล,เกี่ยวกับซิม MY By NT และ NT Mobile
29,สอบถามศูนย์บริการใกล้บ้าน,ติดต่อ Call Center 1888 หรือ www.nc.ntplc.co.th/coverpage/s_main.php,เกี่ยวกับซิม MY By NT และ NT Mobile
30,งานรับชำระเงิน เปิด-ปิด กี่โมง,งานรับชำระเงิน เปิด 08.30 น.-16.00 น.,เกี่ยวกับซิม MY By NT และ NT Mobile
31,โทรศัพท์ใช้งานไม่ได้ชดเชยให้อย่างไร,แจ้งเสียผ่าน Call Center 1177 ติดต่อศูนย์บริการ NT ทุกสาขา เพื่อเขียนคำร้องแจ้งประสงค์ขอปรับลดค่าใช้บริการ,เกี่ยวกับซิม MY By NT และ NT Mobile
32,ADSL มีสัญญาณ สามารถ Connect ได้ แต่บางเว็บเข้าไม่ได้ เป็นเพราะเหตุใด?,"ตรวจสอบ Default Gateway หากไม่พบ Gateway แนะนำลูกค้าตรวจสอบเครื่องลูกค้าหากพบ Default Gateway ให้เข้าหน้า Modem เช็คว่าได้รับค่า IP WAN หรือไม่ แต่ถ้าได้รับ IP WAN แล้วยังใช้งานไม่ได้ แนะนำให้ ตรวจสอบว่ามีการ Fix Ip , DNS , Proxy ไว้หรือไม่ ปรากฎว่ามี ให้เอาออก และทำการ Delete file cookies history พร้อมปิด Security Firewall และ Restart เครื่องแล้วลองใช้งาน หากใช้งานไม่ได้ติดต่อ: NT Helpdesk1888",NT Broadband
33,ลูกค้าสามารถติดตั้ง Roaming ได้ตั้งแต่เมื่อไหร่,ลูกค้าสามารถติดตั้งค่า Roaming ได้ตั้งแต่วันนี้เป็นต้นไป สามารถดูรายละเอียดได้ที่ www.ntplc.co.th,NT Broadband
34,ถ้าต้องการติดตั้งโทรศัพท์ประจำที่ จะต้องติดต่อที่ไหน,ผู้สนใจสามารถขอติดตั้งโทรศัพท์ฯ ได้ที่ศูนย์บริการลูกค้า NT ในพื้นที่ หรือ ขอใช้บริการออนไลน์ผ่าน www.ntplc.co.th,NT Broadband
35,"เครื่อง iphone, ipad ไม่แสดงตารางออกอากาศ","ให้เข้าไอคอน Setting เลือก General เลือก International เลือก regions format เลือก เวลาให้เป็นแบบ international โดยเลือกไปที่ ประเทศอเมริกา United States รูปแบบเวลาในเครื่องจะเป็นแบบ am, pm ( เนื่องจากระบบตั้งค่าไว้เป็นรูปแบบนี้ ถ้าเลือกแสดงเวลาแบบ ไทยผังรายการจะไม่แสดง )",NT Broadband
36,ช่องทางการชำระเงิน,"การชำระค่าใช้บริการผ่าน Counter Service
1. ชำระผ่านศูนย์บริการลูกค้า NT ทั่วประเทศ
2. ชำระผ่านเคาน์เตอร์ธนาคาร อาทิ ธนาคารกสิกร รนาคารกรุงเทพ ธนาคารไทยพาณิชย์ธนาคารทหารไทย
3.ชำระผ่านตัวแทนรับชำระ อาทิ เคานเตอร์เซอร์วิส, Tesco Lotus, ไปรษณีย์ไทย
,ชำระค่าบริการ ผ่านช่องทาง Online
1. ชำระผ่านโทรศัพท์เคลื่อนที่ (Mobile Application) อาทิ mPAY, AirPay, BluePay
2. ชำระผ่านอินเทอร์เน็ต (Website) อาทิ www.ntplc.co.th/eservice
3. ชำระผ่าน บริการ NT Quick Pay
4. ชำระโดยวิธีหักบัญชีเงินฝากธนาคาร ทุกธนาคาร
5. ชำระโดยวิธีหักบัญชีผ่านบัตรเครดิต
6. ชำระผ่านเครื่อง ATM อาทิ ธนาคารกสิกรไทย ธนาคารกรุงเทพ ธนาคารไทยพาณิชย์ธนาคารทหารไทย
7. ชำระทางโทรศัพท์ (Telephone Banking) อาทิ ธนาคารกสิกรไทย",NT Broadband
37,ในปัจจุบัน NT มีการให้บริการ NT BROADBAND ที่ไหนบ้าง,สามารถสอบถามได้ที่ ศูนย์บริการลูกค้า NT ใกล้บ้าน หรือ NT Contact Center โทร.1888,NT Broadband
38,ONU คืออะไร,"ONU ย่อมาจาก Optical Network Unit เป็นอุปกรณ์ที่ใช้ปลายทาง หรือพูดง่ายๆก็คือ เป็นอุปกรณ์ที่วางไว้ที่บ้านเรา เพื่อให้ใช้งานอินเตอร์เน็ตในระบบ FTTX รูปแบบเป็นเหมือนโมเด็ม เพียงแต่ ONU จะรองรับ Speed ที่สูงกว่า และ สายที่ใช้เชื่อมต่อสัญญาณ จากเดิมที่เป็นสายโทรศัพท์ ก็จะเป็นสาย Patch cord แทน 
ONU มีหลายรูปแบบให้เลือกตามความต้องการในการใช้งานของเรา มีตั้งแต่รุ่น ONU 1 Port/ 4 Port, ONU 4 Port Wireless, ONU 4 Port Wireless build in ATA, IP Phone ATA ซึ่งเราสามารถเลือกใช้งาน ตามความต้องการของเราได้เลย",NT Broadband
39,บริการ NT BROADBAND มีอัตราค่าบริการเท่าไหร่,ขึ้นอยู่กับขนาด Bandwidth ที่เลือกใช้ หรือ สอบถามศูนย์บริการลูกค้า NT ใกล้บ้าน หรือ NT Contact Center โทร.1888,NT Broadband
40,บริการ NT BROADBAND รองรับการใช้งานอะไรบ้าง,สามารถให้บริการในรูปแบบ Triple Play เชื่อมต่อทั้งเสียง (Voice) ข้อมูล (Data) และวิดีโอ (Video),NT Broadband
41,บริการ NT BROADBAND เหมาะสำหรับการใช้งานของกลุ่มใดบ้าง,NT BROADBAND สำหรับกลุ่มลูกค้าที่มีความต้องการการใช้งาน,NT Broadband
42,บริการ NT BROADBAND คืออะไร,NT BROADBAND คือ บริการบรอดแบรนด์อินเทอร์เน็ตความเร็วสูง ผ่านโครงข่ายเคเบิลใยแก้วนำแสง (Optical Fiber Cable) จาก NT สามารถใช้งานด้านธุรกิจและส่วนบุคคลได้อย่างไร้ขีดจำกัดด้วยความเร็วถึง 40 Mbps ครอบคลุมพื้นที่ให้บริการได้ถึง 20 กิโลเมตร รองรับทุกการสื่อสาร,NT Broadband
43,สามารถตรวจสอบพื้นที่ให้บริการ NT Broadband ได้อย่างไร,คุณสามารถตรวจสอบพื้นที่ให้บริการได้ที่เว็บไซต์นี้ https://www.nteservice.com/ntbroadband/สมัครสมาชิก/เช็คพื้นที่,NT Broadband
44,แพ็คเกจการให้บริการ NT Broadband มีแพคเกจอะไรบ้าง,คุณสามารถตรวจสอบแพ็คเกจให้บริการได้ที่เว็บไซต์นี้ https://www.nteservice.com/ntbroadband/สมัครสมาชิก/ดูแพ็คเกจ,NT Broadband
45,ต้องการติดตั้งอินเตอร์เน็ตบ้านและเบอร์โทรศัพท์ประจำที่ของ NT ต้องทำยังไง,ติดต่อศูนย์บริการ NT ได้ทุกสาขา หรือ ผ่านเพจ FB: NT Shop กรุงเทพและปริมณฑล หรือ www.ntplc.co.th,NT Broadband
46,โปรโมชัน FTTx มีอะไรบ้าง,"เริ่มต้นความเร็ว 300 Mbps - 1000 Mbps มีบริการเสริมต่างๆ เช่น ซิมมือถือ (My By NT หรือ NT Mobile) , กล่องดูทีวี ( IPTV หรือ C nema), เบอร์โทรศัพท์ประจำที่",NT Broadband
47,กล่องดูทีวี IPTV และ Cnema ต่างกันอย่างไร,"IPTV สามารถดูย้อนหลังได้ 72 ชม. ไม่สามารถดาวน์โหลด APP ได้ 
Cnema ไม่สามารถดูย้อนหลังได้ สามารถดาวน์โหลด APP ได้",NT Broadband
48,ต้องการเปลี่ยน Password เน็ตบ้านต้องทำอย่างไร,ติดต่อ call center NT 1888,NT Broadband
49,ต้องการยกเลิกอินเตอร์เน็ตบ้าน และเบอร์โทรศัพท์ประจำที่ ต้องทำอย่างไร,เจ้าของเลขหมายถือบัตรประชาชนตัวจริง พร้อมอุปกรณ์ ติดต่อศูนย์บริการ NT ได้ทุกสาขา (ยกเว้นสาขาในห้าง),NT Broadband
50,แจ้งเสียอินเตอร์เน็ตและโทรศัพท์ประจำที่ช่องทางไหน,"ติดต่อ call center NT 1888 ตลอด 24 ชม., แจ้งเสียผ่านเว็ปไซต์, ศูนย์บริการ NT ทุกสาขา",NT Broadband
51,การขอติดตั้งอินเตอร์เน็ตบ้านมีค่าใช้จ่ายหรือไม่,"ฟรีค่าติดตั้งอุปกรณ์พร้อมเดินสายภายใน 1 จุด (Drop Optic ไม่เกิน 300 เมตร และสายภายในไม่เกิน 15 เมตร) มูลค่า 5,770 บาท (เฉพาะพื้นที่ที่พร้อมให้บริการ)
ฟรีค่าธรรมเนียมแรกเข้าและค่าเปลี่ยนแพ็กเกจ มูลค่า 1,000 บาท
ฟรีค่าบำรุงรักษารายเดือน มูลค่า 100 บาท
รับสิทธิ์ยืมอุปกรณ์หรือแลกซื้อในราคาพิเศษ",NT Broadband
52,ขอติดตั้งเบอร์โทรศัพท์ประจำที่มีค่าใช้จ่ายหรือไม่,"มีค่าติดตั้ง 1,500 บาท หรือ 3,500 บาท (ยังไม่รวม vat) 
หมายเหตุ : ขึ้นอยู่กับดุลยพินิจศูนย์บริการพื้นที่",NT Broadband
53,NT eService มีมาตรฐานการรักษาความปลอดภัยของระบบสอบถามยอดค่าใช้บริการและชำระค่าใช้บริการ Online อย่างไร,NT eService มีมาตรฐานการรักษาความปลอดภัยของระบบ โดยผู้ใช้บริการต้องผ่านการ Sign In ด้วยชื่อผู้ใช้บริการ/อีเมล (User Id/Email) และรหัสผ่าน (Password) ซึ่งระบบจะทำการเข้ารหัส (Encryption) โดยใช้เทคโนโลยี SSL (Secure Socket Layer) ซึ่งเป็นระบบรักษาความปลอดภัยของข้อมูล ที่ได้การยอมรับสูงสุดระบบหนึ่ง ในขณะนี้,NT eService
